file,baseline_mean_ms,baseline_std_ms,baseline_n_samples,burst_floor_ms,total_windows,bursts_detected,detection_rate,avg_entropy,avg_max_z,max_max_z,avg_cusum,max_cusum
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu500000_stage1a_rep1.csv,27.151647542210004,21.69963161500375,1955,48.87296557597801,18,0,0.0,1.317,8.113,17.71,1574.6,7288.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu500000_stage1b_confirm_rep2.csv,26.488168331957123,21.4518272283748,1940,47.67870299752282,19,0,0.0,1.413,7.696,17.13,272.6,4106.0
experiment_results/wedos_grid/rtt_log_S2_atk1pct_wu500000_stage1b_confirm_rep3.csv,26.395952765247173,21.42179031327349,1951,47.512714977444915,19,0,0.0,1.322,7.764,21.47,4127.6,17283.0
experiment_results/wedos_grid/rtt_log_S2_atk5pct_wu200000_stage1a_rep1.csv,27.46962366454797,21.351600705524234,2048,49.44532259618635,18,0,0.0,1.516,5.502,13.02,853.8,8152.0
experiment_results/wedos_grid/rtt_log_S2_atk5pct_wu300000_stage1a_rep1.csv,27.320582032889256,21.465425820768914,2007,49.17704765920066,18,2,0.111,1.544,7.324,27.9,103361.2,141715.0
experiment_results/wedos_grid/rtt_log_S2_atk5pct_wu400000_stage1a_rep1.csv,27.4496502886745,22.05463617527695,1926,49.4093705196141,18,10,0.556,1.404,7.233,33.5,334487.8,532962.0
experiment_results/wedos_grid/rtt_log_S2_atk5pct_wu500000_stage1a_rep1.csv,26.44410918727091,21.400082468426998,1933,47.59939653708764,18,13,0.722,1.503,6.779,37.03,939332.4,1388460.0
experiment_results/wedos_grid/rtt_log_S3_atk10pct_wu200000_stage1a_rep1.csv,34.87741012045007,21.485938591481688,3886,62.77933821681013,18,2,0.111,1.701,8.961,61.78,738140.6,896905.0
experiment_results/wedos_grid/rtt_log_S3_atk10pct_wu300000_stage1a_rep1.csv,34.20598207841804,20.578225902833523,3927,61.57076774115247,19,7,0.368,1.418,11.266,98.26,4680763.4,5822626.0
experiment_results/wedos_grid/rtt_log_S3_atk10pct_wu400000_stage1a_rep1.csv,34.39785108003401,20.547203132375838,3886,61.91613194406122,17,16,0.941,2.617,8.82,95.88,1088074.5,1670837.0
experiment_results/wedos_grid/rtt_log_S3_atk10pct_wu500000_stage1a_rep1.csv,38.68586221523411,41.09048406318896,3861,69.6345519874214,18,13,0.722,0.856,8.517,31.68,1426882.8,2166337.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu100000_stage1b_rep1.csv,34.18726103606865,20.476445944202105,3826,61.537069864923566,19,0,0.0,1.705,3.209,5.7,4.3,17.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu100000_stage1b_rep2.csv,34.317206704677716,20.326460352636406,3911,61.77097206841989,19,0,0.0,1.674,3.422,5.11,5.2,17.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu125000_stage1b_rep1.csv,34.12686623789706,20.633322540881206,3842,61.42835922821471,19,0,0.0,1.645,4.901,9.48,202.5,3662.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu125000_stage1b_rep2.csv,34.35706311584598,20.39683535198304,3781,61.84271360852277,19,0,0.0,1.551,4.719,12.19,89.5,1568.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu150000_stage1b_rep1.csv,34.172649061031656,20.320638798752647,3949,61.510768309856985,19,0,0.0,1.645,5.148,9.28,119.1,2162.0
