run_id,source_dir,scenario,wu,intensity_pct,num_attackers,rep,aggregate_rps,num_clients,combinado_rps,stage,kind,config_key,window_start_s,window_end_s,rtt_mean,rtt_std,rtt_median,rtt_p90,rtt_p95,rtt_p99,rtt_cv,rtt_skew,rtt_min,rtt_max,request_count,unique_src_ports,entropy,delta_entropy,max_z,cusum,avg_cpu_percent,num_instances,any_scale_up,label,is_transition,is_hiccup,hiccup_reasons,clf_alarm_entropy,clf_alarm_z,clf_alarm_cusum,clf_status_burst
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,0.0,20.0,15.831934574881723,19.124147781080925,3.6898370017297566,46.17213640012778,47.66662999172695,51.08143377816304,1.2079476257704151,0.9420104890103923,2.432109991787001,61.30442800349556,785,9,0.0,0.0,0.0,0.0,4.8149999999999995,1,False,benign,True,False,,False,False,False,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,10.0,30.0,60.60154587455306,90.94822867871541,43.56899049889762,132.33293640951138,227.50816670304457,482.6414110159383,1.500757569237274,3.140971429548222,2.432109991787001,587.8206260094885,1148,33,1.159139462158564,1.159139462158564,29.90923820409199,24581.14029797642,48.870000000000005,2,True,benign,True,False,,False,True,True,True
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,20.0,40.0,66.6140646837046,80.84399741754237,48.10255100892391,126.95208251534496,185.7266356499168,461.9885067193536,1.2136175416018227,3.2824071792019565,3.567689011106268,587.8206260094885,1502,66,1.2613725744262634,0.10223311226769938,5.79691422025815,22343.287606911512,106.6575,2,True,attack,True,False,,False,True,True,True
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,30.0,50.0,52.579025664409855,44.88431677879299,47.37919999752194,103.94858900690451,138.09938175108982,218.83676130091712,0.8536544032837542,1.5152010562986173,3.567689011106268,302.0935919776093,1546,68,0.9853709426105197,0.27600163181574366,2.9127645195190204,25196.209377605857,108.1375,3,True,attack,True,False,,False,False,True,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,40.0,60.0,53.55685018939054,44.91205242241791,47.42988300858997,108.58992539579056,139.30262608919293,200.63024927105275,0.8385865162644471,1.3740539200261108,3.5584410070441663,302.0935919776093,1595,55,0.9986334243662124,0.013262481755692668,5.559059025960053,24537.481231376627,93.605,3,True,attack,True,False,,False,True,True,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,50.0,70.0,56.44153513889497,43.976572563567274,49.48967900418211,116.18280918919481,137.93055692512993,192.5654942498659,0.7791526657690455,0.8804369169225417,3.5584410070441663,244.41230698721483,1578,63,1.0340731698556511,0.035439745489438734,4.24953762973786,31919.049462662053,84.3425,4,True,attack,False,False,,False,True,True,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,60.0,80.0,83.51405258515364,90.69744002904386,57.74230849056039,181.9929365068674,273.8357159381849,436.17451109021124,1.0860141164454427,2.449823006341167,3.563209989806637,739.1814130241983,1540,60,1.616528890667369,0.5824557208117178,15.525081607904212,72790.10469620084,93.39750000000001,4,True,attack,False,False,,False,True,True,True
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,70.0,90.0,78.97170918291424,90.92592633831418,51.723061507800594,177.32970300130546,273.59874857793324,434.88219929131486,1.1513734130752014,2.5324846824251277,3.97482598782517,739.1814130241983,1558,67,1.5435088480623416,0.07302004260502737,7.229171630743729,73658.69360963194,97.7125,4,False,attack,False,False,,False,True,True,True
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,80.0,100.0,48.881775449550425,42.192282281614624,45.8112380001694,105.0857514026575,127.33614688331724,178.50035540293916,0.863149545890782,1.2642062771122977,3.435839986195788,273.0502749909647,1559,53,0.894929229914883,0.6485796181474586,2.134468942179696,67646.33268183155,75.275,4,False,attack,False,False,,False,False,True,False
desempate_combinado_isolado/combinado_rps10_att4_WU100000_rep3,desempate_combinado_isolado,,100000,,4.0,3.0,,,10.0,,combinado,desempate_combinado_isolado/combinado_rps10_att4_WU100000,90.0,110.0,45.07326549410356,37.580830985887424,44.78245502104983,94.0612154081464,113.23209980037062,159.74156243610213,0.8337720946977696,1.145464516821316,3.419426007894799,266.8274269963149,1609,51,0.7750186431584476,0.1199105867564354,5.165533594321224,62222.05883915842,61.980000000000004,4,False,attack,False,False,,False,True,True,False
